Mã sản phẩm,Tên sản phẩm,Giá,Doanh thu,Tên cửa hàng,Tỉ lệ hoa hồng,Hoa hồng,Link sản phẩm,Link ưu đãi
27678787551,"Tai Nghe Ngủ Bluetooth X55, Tai Nghe Không Dây X55 Pro Mẫu Mới Mỏng Nhẹ Nằm Ngủ, Micro Tích Hợp Tặng bao tay","50,0k",6k+,DUYSTORE68,"12,5%",₫6.001,https://shopee.vn/product/1385065291/27678787551,https://s.shopee.vn/7fTmylUjUk
22645372118,"Set Trà Sữa Tự Pha Trân Châu Đường Đen, Nguyên Liệu Làm Trà Sữa Phúc Long, Matcha 10 vị 8-10 Ly TRÀ HOA CÔ BA","9,0k",80k+,Trà Hoa Cô Ba-Trà Thảo Mộc,"11,5%",₫990,https://shopee.vn/product/753175337/22645372118,https://s.shopee.vn/7pnDB4U69n
28751123814,Máy chiếu Mini di động GOOJODOQ Android 11 Xoay miễn phí 270 ° Bluetooth 5.0 Màn hình lớn,"1,1tr",6k+,GoojodoqMall.VN,"14,5%",₫152.600,https://shopee.vn/product/958778013/28751123814,https://s.shopee.vn/5L5sCTdcEK
27383556793,Quạt mini cầm tay M2 5000mAh di động có thể sạc gió mạnh 100 tốc độ turbo phản lực màn hình hiển thị pin tặng dây đeo,"41,0k",20k+,DUYSTORE68,"12,5%",₫4.920,https://shopee.vn/product/1385065291/27383556793,https://s.shopee.vn/5VPIOmcytN
27681521545,Sét bộ áo thun chất bozip kèm quần dài chất da cá SÉT BỘ DA CÁ siêu xinh phong cách Hàn Quốc ( có tách lẻ) M5528,"33,0k",8k+,THU UNISEX,"10,5%",₫3.299,https://shopee.vn/product/978062482/27681521545,https://s.shopee.vn/5fiib5cLYQ
28002315264,Kệ đựng mỹ phẩm trong suốt có ngăn kéo để đồ trang điểm phụ kiện,"130,0k",10k+,Siêu Thị Xanh Mart,"10,5%",₫13.000,https://shopee.vn/product/1171205018/28002315264,https://s.shopee.vn/5q28nObiDT
28160908687,Máy chiếu cầm tay GOOJODOQ 4K 250ANSI xoay 360° màn hình lớn 150 inch,"1,3tr",684,GOOJODOQ OFFICIAL SHOP,"13,5%",₫167.700,https://shopee.vn/product/1356437574/28160908687,https://s.shopee.vn/60LYzhb4sW
43552416637,Quạt mini cầm tay M2 5000mAh di động có thể sạc gió mạnh 100 tốc độ turbo phản lực màn hình hiển thị pin,"62,0k",1k+,DUYSTORE68,"12,5%",₫7.440,https://shopee.vn/product/1385065291/43552416637,https://s.shopee.vn/6AezC0aRXZ
1339423622,"Quạt Tích Điện Mini Kẹp Bàn Văn Phòng, Đèn LED, Pin Trâu Cao Cấp – Quạt Để Bàn Tiện Dụng Sạc Type-C","18,0k",10k+,Vua Phụ Kiện Số - Tai Nghe Cáp,"10,5%",₫1.800,https://shopee.vn/product/65363449/1339423622,https://s.shopee.vn/6KyPOJZoCc
18594667824,【Rẻ/HCM】ghế lười hạt xốp Vỏ Ghế Lười Hình Hạt Đậu Thiết Kế Đơn Giản Phong Cách Cổ Điển Cho Người Lớn Và Trẻ Em,"65,8k",8k+,Powerhome,"10,5%",₫6.580,https://shopee.vn/product/649536898/18594667824,https://s.shopee.vn/6VHpacZArf
